"","norm.d0.1","norm.d3.1","norm.d7.1","norm.d10.1","hypo.d3.1","hypo.d3.2","hypo.d7.1","hypo.d7.2","hypo.d10.1","hypo.d10.2"
"ENSG00000002330",12.0764,15.1164,22.2507,26.0882,8.8503,11.6178,19.0917,19.4727,25.4793,24.5607
"ENSG00000039068",3.63055,70.9146,244.784,233.804,205.738,117.484,304.87,305.224,237.728,212.878
"ENSG00000100393",72.455,45.2777,45.7399,104.529,45.2415,60.9955,51.1425,43.8644,115.761,96.0359
"ENSG00000100644",248.385,63.4396,47.4268,58.5841,48.0257,59.8188,42.9745,50.4544,50.6839,50.5401
"ENSG00000101412",2.01213,15.2506,19.5099,24.6521,13.6138,10.3227,27.3421,19.3851,31.4065,22.6709
"ENSG00000105173",2.81624,24.7712,49.2469,71.6239,31.1203,27.0603,67.8792,50.4992,82.7313,83.0749
"ENSG00000108924",19.5801,1.49308,0.191694,0,0.367979,0.783571,0.0990889,0.0995682,0.0421039,0
"ENSG00000110092",0.458152,10.9087,11.1186,0.222107,19.1394,13.938,5.70711,5.75903,0.951523,1.10595
"ENSG00000111276",41.4135,27.5136,34.5956,103.044,17.7171,28.7504,47.7496,40.6584,133.42,78.9707
"ENSG00000112715",12.3821,21.6311,62.8605,102.489,89.1325,97.6736,356.825,158.605,255.464,186.373
"ENSG00000116016",1.60816,8.13003,3.32933,1.58128,3.35318,8.39851,5.30624,11.5476,1.50617,4.607
"ENSG00000117399",3.57871,121.576,175.394,174.808,208.524,78.7402,278.446,147.032,353.411,198.439
"ENSG00000118971",60.0959,42.2955,28.8427,9.91334,22.2565,41.9712,22.4001,28.7816,8.41564,15.3343
"ENSG00000133101",0.69675,16.456,15.0266,4.85145,10.4485,21.8127,5.64419,14.3395,3.0098,8.34593
"ENSG00000134057",7.63417,198.99,230.401,198.846,257.164,182.824,214.736,177.21,273.117,196.085
"ENSG00000134086",29.324,37.4186,38.1159,29.9241,42.4019,33.5299,42.3124,34.9645,32.8471,34.4835
"ENSG00000135679",65.254,66.5894,64.5319,68.1706,59.0665,58.6996,102.235,64.6763,117.991,82.3191
"ENSG00000136997",17.8212,225.671,193.993,64.3391,242.644,225.456,178.229,213.867,52.5059,91.4765
"ENSG00000139687",9.36255,33.2969,38.4489,55.0893,31.5036,37.3618,32.1984,36.1757,46.5656,45.5753
"ENSG00000141510",61.4192,268.964,278.171,193.014,220.289,272.036,211.731,306.906,175.486,197.201
"ENSG00000142871",0.276517,0.0678044,0.314284,0.571322,0.218031,0.0662854,0.332625,0.253024,0.200858,0.0817892
"ENSG00000143384",602.105,70.7365,63.0208,80.6773,71.5561,77.3792,63.5302,58.0879,84.6357,54.2428
"ENSG00000145386",1.59053,66.5764,76.1155,112.534,76.1223,59.8904,79.4829,70.981,138.061,91.9168
"ENSG00000157456",1.65306,64.1209,100.522,135.563,84.41,66.4839,109.312,88.7558,176.229,115.797
"ENSG00000171791",3.61399,10.9627,4.50834,1.66383,5.58295,15.729,2.24096,4.98027,0.863759,2.07757
"ENSG00000175063",2.48688,167.898,125.475,154.485,159.058,169.335,178.072,139.912,250.994,161.376
"ENSG00000175305",5.07223,23.597,23.8516,41.7476,18.3027,24.0361,18.1903,22.7253,44.4745,37.8744
"ENSG00000176171",5.65565,9.39389,13.0408,7.36263,53.1518,110.935,159.422,171.082,113.824,146.838
"ENSG00000204531",2.44471,1.21171,1.85709,2.29955,0.752642,1.90785,1.28275,1.37726,1.51016,1.83924
